PetID,PetType,Breed,Color,Size,Gender,pet_details,pet_characteristics
1,Dog,German Shepherd,sable,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, prefers quiet evenings at home, is very playful","large build, muscular, thick double coat, erect ears, long tail"
2,Dog,German Shepherd,sable,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, has a loud bark, is very cuddly","large build, muscular, thick double coat, erect ears, long tail"
3,Dog,German Shepherd,sable,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is very playful, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
4,Dog,German Shepherd,sable,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers","large build, muscular, thick double coat, erect ears, long tail"
5,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
6,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
7,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park","large build, muscular, thick double coat, erect ears, long tail"
8,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, loves to fetch","large build, muscular, thick double coat, erect ears, long tail"
9,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, loves to fetch, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
10,Dog,German Shepherd,black and red,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, prefers quiet evenings at home, is very playful","large build, muscular, thick double coat, erect ears, long tail"
11,Dog,German Shepherd,sable,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is very cuddly","large build, muscular, thick double coat, erect ears, long tail"
12,Dog,German Shepherd,sable,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, is great with kids","large build, muscular, thick double coat, erect ears, long tail"
13,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs","large build, muscular, thick double coat, erect ears, long tail"
14,Dog,German Shepherd,sable,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
15,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
16,Dog,German Shepherd,black and tan,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs","large build, muscular, thick double coat, erect ears, long tail"
17,Dog,German Shepherd,sable,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
18,Dog,German Shepherd,black and red,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is very playful","large build, muscular, thick double coat, erect ears, long tail"
19,Dog,German Shepherd,black and tan,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
20,Dog,German Shepherd,black and red,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park","large build, muscular, thick double coat, erect ears, long tail"
21,Dog,German Shepherd,black and tan,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, prefers quiet evenings at home","large build, muscular, thick double coat, erect ears, long tail"
22,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog, has expressive eyes","large build, muscular, thick double coat, erect ears, long tail"
23,Dog,German Shepherd,black and tan,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is learning new tricks","large build, muscular, thick double coat, erect ears, long tail"
