PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,PreviousOwner,Gender,pet_details,shedding,FoodPreference,MeatConsumption,kid_friendliness,EnergyLevel
1,2,1,-0.8222522064223032,9,0,1.0997257228224702,0,0,1.2291824288031474,0,1,"loyal, courageous, intelligent, obedient, protective, confident, prefers quiet evenings at home, is very playful",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,1,0
2,2,1,-1.37552452506241,9,2,-0.2846504580820069,0,1,0.09627680550947054,0,0,"loyal, courageous, intelligent, obedient, protective, confident, has a loud bark, is very cuddly",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
3,2,1,-1.37552452506241,9,2,-0.31695807572971796,0,0,-0.48970886171139677,0,1,"loyal, courageous, intelligent, obedient, protective, confident, is very playful, loves to chase squirrels",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,0
4,2,1,-1.37552452506241,9,1,-0.3521276573462216,1,1,0.17440822780558618,1,1,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,1,2
5,2,1,-0.9087010062098199,9,0,1.002395679883777,0,1,-0.5678402840075124,1,0,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
6,2,1,-1.3409450051474032,2,1,-0.2260616347208714,1,0,1.7761023848759567,1,1,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog, loves to chase squirrels",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,1,2
7,2,1,-1.3063654852323965,2,1,-0.10582424603196476,0,1,0.09627680550947054,1,1,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
8,2,1,-1.3582347651049065,2,1,-0.2239093447443405,0,0,0.64319676158228,1,1,"loyal, courageous, intelligent, obedient, protective, confident, loves to fetch",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
9,2,1,-1.3582347651049065,2,1,-0.26081239234194203,1,1,1.7761023848759567,1,1,"loyal, courageous, intelligent, obedient, protective, confident, loves to fetch, is fluffy",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
10,2,1,-0.8049624464647999,2,0,1.1387926943964757,1,1,-0.3334460171191655,0,1,"loyal, courageous, intelligent, obedient, protective, confident, prefers quiet evenings at home, is very playful",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,0
11,2,1,-1.37552452506241,9,2,-0.3809334410321174,0,1,0.6041310504342222,0,1,"loyal, courageous, intelligent, obedient, protective, confident, is very cuddly",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
12,2,1,-1.3409450051474032,9,1,-0.2608007583420689,1,1,-1.1928916623764376,1,0,"loyal, courageous, intelligent, obedient, protective, confident, is great with kids",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
13,2,1,-0.8049624464647999,9,0,1.105019192764749,0,1,0.057211094361412716,1,0,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,1,2
14,2,1,-1.4101040449774165,9,2,-0.4470610963110478,0,1,-1.7007459073011892,0,1,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,1,2
15,2,1,-1.01243956595484,9,0,0.7249131489095036,0,1,1.307313851099263,1,0,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,1,2
16,2,1,-1.37552452506241,3,1,-0.32062278568975716,0,0,-0.25531459482304986,0,0,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs",5,"active dog food, meat/rice/veg mix, eggs. gradual food changes, calcium/joint support.",1,0,2
